id,nombre,seccion,colonia,municipio,celular,email,latitud,longitud,segmento,canal,mensaje_tipo,fecha_contacto,encuestador
PP647-0001,Hector Hernandez Ibarra,647,Las Conchas,Puerto Penasco,6381499914,hector.39@gmail.com,31.306145,-113.550406,Multiplicadores,WhatsApp,Invitarlo a ser promotor — ya conoce a Alan y votaria por el.,2026-02-16,Brigadista-10
PP647-0002,Hector Moreno Ortiz,647,Barrio Antiguo,Puerto Penasco,6385667265,,31.30555,-113.550594,Primer contacto,Visita,Primera presentacion — no conoce a Alan ni ha decidido.,2026-01-15,Brigadista-03
PP647-0003,Laura Perez Hernandez,647,Ejido Suviri,Puerto Penasco,6382622631,,31.302148,-113.549502,Persuasión,Visita,Cerrar el voto — conoce a Alan pero no ha decidido.,2026-02-06,Brigadista-10
PP647-0004,Carmen Jimenez Celaya,647,Colonia Nuevo Penasco,Puerto Penasco,6382166941,carmen.39@gmail.com,31.307424,-113.551165,Primer contacto,Visita,Primera presentacion — no conoce a Alan ni ha decidido.,2026-03-05,Brigadista-05
PP647-0005,Claudia Flores Celaya,647,Ejido Coahuila,Puerto Penasco,,claudia.44@gmail.com,31.304198,-113.549194,Persuasión,Visita,Cerrar el voto — conoce a Alan pero no ha decidido.,2026-02-28,Brigadista-11
PP647-0006,Jorge Rodriguez Ortiz,647,Las Conchas,Puerto Penasco,6386292423,,31.30491,-113.547187,Primer contacto,SMS,Primera presentacion — no conoce a Alan ni ha decidido.,2026-01-19,Brigadista-04
PP647-0007,Sandra Torres Vazquez,647,El Cholla,Puerto Penasco,,sandra.81@gmail.com,31.304513,-113.550487,Primer contacto,SMS,Primera presentacion — no conoce a Alan ni ha decidido.,2026-02-18,Brigadista-05
PP647-0008,Claudia Ortiz Ramirez,647,Los Medanos,Puerto Penasco,,claudia.16@gmail.com,31.305093,-113.548821,Persuasión,WhatsApp,Cerrar el voto — conoce a Alan pero no ha decidido.,2026-03-11,Brigadista-02
PP647-0009,Luis Gastelum Gastelum,647,Barrio Antiguo,Puerto Penasco,6389877065,luis.80@gmail.com,31.30576,-113.550894,Primer contacto,Visita,Primera presentacion — no conoce a Alan ni ha decidido.,2026-03-11,Brigadista-01
PP647-0010,Veronica Valenzuela Sanchez,647,La Marina,Puerto Penasco,6388294150,veronica.10@gmail.com,31.307166,-113.551245,Multiplicadores,WhatsApp,Invitarlo a ser promotor — ya conoce a Alan y votaria por el.,2026-03-02,Brigadista-12
PP647-0011,Antonio Torres Celaya,647,Fraccionamiento Penasco,Puerto Penasco,6389897858,,31.305474,-113.549825,Primer contacto,Visita,Primera presentacion — no conoce a Alan ni ha decidido.,2026-02-22,Brigadista-06
PP647-0012,Carmen Hernandez Lizarraga,647,Puerto Viejo,Puerto Penasco,6389937326,,31.302736,-113.55028,Primer contacto,SMS,Primera presentacion — no conoce a Alan ni ha decidido.,2026-01-23,Brigadista-11
PP647-0013,Margarita Cruz Ruiz,647,Ejido Suviri,Puerto Penasco,6387264956,,31.30399,-113.545393,Primer contacto,SMS,Primera presentacion — no conoce a Alan ni ha decidido.,2026-02-17,Brigadista-08
PP647-0014,Monica Ortiz Ortiz,647,Centro,Puerto Penasco,6382191066,,31.303405,-113.550394,Activación,WhatsApp,Reforzar presencia de Alan — ya votaria pero aun no lo conoce.,2026-01-18,Brigadista-04
PP647-0015,Oscar Ramos Ochoa,647,Colonia Pescadores,Puerto Penasco,6384194548,oscar.94@gmail.com,31.304788,-113.548381,Persuasión,SMS,Cerrar el voto — conoce a Alan pero no ha decidido.,2026-02-11,Brigadista-06
PP647-0016,Carlos Rodriguez Zazueta,647,Villa Bonita,Puerto Penasco,6382833230,carlos.34@gmail.com,31.306094,-113.548523,Primer contacto,SMS,Primera presentacion — no conoce a Alan ni ha decidido.,2026-02-18,Brigadista-08
PP647-0017,Luis Esquer Perez,647,Las Conchas,Puerto Penasco,6381247595,,31.304261,-113.550712,Primer contacto,Visita,Primera presentacion — no conoce a Alan ni ha decidido.,2026-03-15,Brigadista-04
PP647-0018,Ricardo Garcia Gastelum,647,Fraccionamiento del Mar,Puerto Penasco,6388633773,ricardo.99@gmail.com,31.301482,-113.549033,Primer contacto,WhatsApp,Primera presentacion — no conoce a Alan ni ha decidido.,2026-03-02,Brigadista-09
PP647-0019,Oscar Bernal Flores,647,Las Conchas,Puerto Penasco,6389519948,oscar.33@gmail.com,31.301424,-113.549708,Persuasión,WhatsApp,Cerrar el voto — conoce a Alan pero no ha decidido.,2026-01-19,Brigadista-10
PP647-0020,Sofia Lopez Hernandez,647,Colonia Pescadores,Puerto Penasco,6389770838,sofia.43@gmail.com,31.303857,-113.545475,Primer contacto,SMS,Primera presentacion — no conoce a Alan ni ha decidido.,2026-01-28,Brigadista-11
PP647-0021,Elena Acosta Cardenas,647,Puerto Viejo,Puerto Penasco,6381156287,,31.303802,-113.550286,Primer contacto,Visita,Primera presentacion — no conoce a Alan ni ha decidido.,2026-02-20,Brigadista-02
PP647-0022,Sergio Gonzalez Ramos,647,Ejido Coahuila,Puerto Penasco,6385781295,sergio.79@gmail.com,31.302903,-113.550483,Primer contacto,Visita,Primera presentacion — no conoce a Alan ni ha decidido.,2026-03-01,Brigadista-05
PP647-0023,Elena Perez Ramirez,647,Fraccionamiento del Mar,Puerto Penasco,6382936571,,31.3067,-113.552069,Persuasión,SMS,Cerrar el voto — conoce a Alan pero no ha decidido.,2026-03-03,Brigadista-09
PP647-0024,Laura Morales Vazquez,647,Los Medanos,Puerto Penasco,6385213115,,31.302528,-113.549954,Primer contacto,WhatsApp,Primera presentacion — no conoce a Alan ni ha decidido.,2026-03-10,Brigadista-01
PP647-0025,Adriana Garcia Sanchez,647,Puerto Viejo,Puerto Penasco,6383500715,,31.304874,-113.546406,Multiplicadores,Email,Invitarlo a ser promotor — ya conoce a Alan y votaria por el.,2026-03-09,Brigadista-06
PP647-0026,Guadalupe Ramos Flores,647,Fraccionamiento Penasco,Puerto Penasco,6387917152,guadalupe.52@gmail.com,31.305349,-113.548991,Activación,WhatsApp,Reforzar presencia de Alan — ya votaria pero aun no lo conoce.,2026-03-06,Brigadista-07
PP647-0027,Carlos Gastelum Lopez,647,Los Medanos,Puerto Penasco,,carlos.68@gmail.com,31.306495,-113.550069,Primer contacto,SMS,Primera presentacion — no conoce a Alan ni ha decidido.,2026-02-06,Brigadista-05
PP647-0028,Veronica Gonzalez Mendoza,647,Ejido Coahuila,Puerto Penasco,,,31.30382,-113.547033,Persuasión,WhatsApp,Cerrar el voto — conoce a Alan pero no ha decidido.,2026-02-09,Brigadista-11
PP647-0029,Patricia Vazquez Lopez,647,Playas de Encanto,Puerto Penasco,,,31.307755,-113.551238,Activación,WhatsApp,Reforzar presencia de Alan — ya votaria pero aun no lo conoce.,2026-02-06,Brigadista-12
